date,var_z,etc1,etc2,etc3
2015-01-01,24.13,-0.39,27.1,0.53
2015-02-01,25.59,-0.55,27.29,0.56
2015-03-01,26.69,0.06,27.79,0.58
2015-04-01,26.95,1.35,28.56,0.78
2015-05-01,26.71,2.43,28.88,1.03
2015-06-01,25.42,2.54,28.96,1.32
2015-07-01,24.48,2.87,28.82,1.6
2015-08-01,22.88,2.24,28.89,2.07
2015-09-01,22.91,2.57,29.0,2.28
2015-10-01,23.31,2.52,29.15,2.46
2015-11-01,23.83,2.24,29.6,2.95
2015-12-01,25.01,2.19,29.39,2.82
2016-01-01,25.93,1.41,29.17,2.6
2016-02-01,26.81,0.67,29.12,2.4
2016-03-01,27.57,0.93,28.9,1.68
2016-04-01,25.83,0.23,28.87,1.09
2016-05-01,24.55,0.27,28.15,0.3
2016-06-01,23.17,0.29,27.53,-0.12
2016-07-01,21.79,0.17,26.73,-0.49
2016-08-01,21.03,0.39,26.28,-0.54
2016-09-01,20.87,0.53,26.11,-0.61
2016-10-01,21.18,0.39,25.96,-0.73
2016-11-01,21.68,0.09,26.1,-0.55
2016-12-01,23.35,0.53,26.16,-0.41
2017-01-01,25.75,1.23,26.25,-0.32
2017-02-01,27.76,1.62,26.87,0.14
2017-03-01,28.58,1.95,27.31,0.1
2017-04-01,26.53,0.93,28.1,0.32
2017-05-01,25.06,0.78,28.3,0.46
2017-06-01,22.98,0.1,28.19,0.55
2017-07-01,21.54,-0.07,27.61,0.39
2017-08-01,20.19,-0.45,26.67,-0.15
2017-09-01,19.67,-0.67,26.29,-0.43
2017-10-01,19.45,-1.34,26.23,-0.46
2017-11-01,20.44,-1.15,25.79,-0.86
2017-12-01,21.44,-1.38,25.8,-0.77
2018-01-01,23.71,-0.81,25.82,-0.75
2018-02-01,25.57,-0.57,25.83,-0.9
2018-03-01,25.83,-0.8,26.48,-0.73
